drug_1,drug_2,context,label
5-FU,DASATINIB,CAOV3,17.8798317329
5-FU,DASATINIB,COLO320DM,6.4670310089
5-FU,DASATINIB,DLD1,21.4330908809
5-FU,DASATINIB,EFM192B,3.8423834056
5-FU,DASATINIB,ES2,17.6901953531
5-FU,DASATINIB,HCT116,-7.8192717861
5-FU,DASATINIB,HT144,-22.973278118400003
5-FU,DASATINIB,HT29,17.0669807634
5-FU,DASATINIB,KPL1,3.4468119112999998
5-FU,DASATINIB,LNCAP,0.24250736579999999
5-FU,DASATINIB,LOVO,21.3855881893
5-FU,DASATINIB,MDAMB436,18.7186968772
5-FU,DASATINIB,MSTO,17.562990649
5-FU,DASATINIB,NCIH1650,23.2349707101
5-FU,DASATINIB,NCIH2122,-31.1947195955
5-FU,DASATINIB,NCIH23,11.5591467519
5-FU,DASATINIB,NCIH460,21.668726101199997
5-FU,DASATINIB,NCIH520,42.735051441799996
5-FU,DASATINIB,OCUBM,-6.0435035517
5-FU,DASATINIB,OV90,0.4330347743
5-FU,DASATINIB,OVCAR3,57.0331471062
5-FU,DASATINIB,PA1,33.9082835151
5-FU,DASATINIB,RKO,17.3116328276
5-FU,DASATINIB,RPMI7951,19.063551028499997
5-FU,DASATINIB,SKMEL30,-4.6186948142
5-FU,DASATINIB,SKMES1,2.9818204918
5-FU,DASATINIB,SKOV3,1.3046560675
5-FU,DASATINIB,SW620,30.444630835300003
5-FU,DASATINIB,SW837,15.8773368915
5-FU,DASATINIB,T47D,18.8656014132
5-FU,DASATINIB,UACC62,12.123960338900002
5-FU,DASATINIB,UWB1289BRCA1,7.6733601203
5-FU,DASATINIB,UWB1289,3.7658996852999995
5-FU,DASATINIB,VCAP,21.455726442
5-FU,DASATINIB,ZR751,5.1142794332
5-FU,DINACICLIB,A2058,4.3316952071
5-FU,DINACICLIB,A2780,-8.1611286386
5-FU,DINACICLIB,A375,-5.4159342011
5-FU,DINACICLIB,A427,-7.7474736816
5-FU,DINACICLIB,CAOV3,-14.347425890899999
5-FU,DINACICLIB,COLO320DM,4.8075500511
5-FU,DINACICLIB,DLD1,-3.6412672658
5-FU,DINACICLIB,EFM192B,0.3121068316
5-FU,DINACICLIB,ES2,3.4071845582
5-FU,DINACICLIB,HCT116,2.9189014698
5-FU,DINACICLIB,HT144,-3.4774222173
5-FU,DINACICLIB,HT29,-2.5394087441999997
5-FU,DINACICLIB,KPL1,0.007355464
5-FU,DINACICLIB,LNCAP,-0.8480444662000001
5-FU,DINACICLIB,LOVO,-11.8769599262
5-FU,DINACICLIB,MDAMB436,5.347534119800001
5-FU,DINACICLIB,MSTO,1.1104282837000001
5-FU,DINACICLIB,NCIH1650,-2.1132235055
5-FU,DINACICLIB,NCIH2122,1.2187131729
5-FU,DINACICLIB,NCIH23,-9.5337022995
5-FU,DINACICLIB,NCIH460,-7.4209805584
5-FU,DINACICLIB,NCIH520,-4.3210485458
5-FU,DINACICLIB,OCUBM,6.785054032300001
5-FU,DINACICLIB,OV90,-5.9355790616999995
5-FU,DINACICLIB,OVCAR3,2.7064693261
5-FU,DINACICLIB,PA1,-5.7328651442
5-FU,DINACICLIB,RKO,5.6238194396
5-FU,DINACICLIB,RPMI7951,-5.6869902395
5-FU,DINACICLIB,SKMEL30,-96.6171400256
5-FU,DINACICLIB,SKMES1,-3.1403413007
5-FU,DINACICLIB,SKOV3,-13.8991015225
5-FU,DINACICLIB,SW620,-4.5680713977
5-FU,DINACICLIB,SW837,-19.5733229304
5-FU,DINACICLIB,T47D,-2.721986339
5-FU,DINACICLIB,UACC62,3.6825732483999998
5-FU,DINACICLIB,UWB1289BRCA1,3.0417152863999997
5-FU,DINACICLIB,UWB1289,-0.2331905921
5-FU,DINACICLIB,VCAP,14.421993999200001
5-FU,DINACICLIB,ZR751,-13.5823901433
5-FU,ERLOTINIB,A2058,9.6942857549
5-FU,ERLOTINIB,A2780,16.5693311017
5-FU,ERLOTINIB,A375,13.9643924282
5-FU,ERLOTINIB,A427,18.429258155699998
5-FU,ERLOTINIB,CAOV3,-7.9516351685
5-FU,ERLOTINIB,COLO320DM,22.1679734087
5-FU,ERLOTINIB,DLD1,10.181271291
5-FU,ERLOTINIB,EFM192B,10.5434563577
5-FU,ERLOTINIB,ES2,15.123162496900001
5-FU,ERLOTINIB,HCT116,14.4529779349
5-FU,ERLOTINIB,HT144,9.5594532711
5-FU,ERLOTINIB,HT29,11.337471621199999
5-FU,ERLOTINIB,KPL1,-3.0152734579000002
5-FU,ERLOTINIB,LNCAP,-6.9843951948
5-FU,ERLOTINIB,LOVO,12.417331683099999
5-FU,ERLOTINIB,MDAMB436,16.1498978974
5-FU,ERLOTINIB,MSTO,-45.89376065850001
5-FU,ERLOTINIB,NCIH1650,0.9247862495999999
5-FU,ERLOTINIB,NCIH2122,24.454976829899998
5-FU,ERLOTINIB,NCIH23,6.373410139600001
5-FU,ERLOTINIB,NCIH460,17.2248469758
5-FU,ERLOTINIB,NCIH520,7.235758199099999
5-FU,ERLOTINIB,OCUBM,28.1444385648
5-FU,ERLOTINIB,OV90,-11.040045846300002
5-FU,ERLOTINIB,OVCAR3,29.201255854099998
5-FU,ERLOTINIB,PA1,11.223205907799999
5-FU,ERLOTINIB,RKO,20.9875725757
5-FU,ERLOTINIB,RPMI7951,17.0048417484
5-FU,ERLOTINIB,SKMEL30,13.954883860499999
5-FU,ERLOTINIB,SKMES1,21.2894247643
5-FU,ERLOTINIB,SKOV3,16.2106176273
5-FU,ERLOTINIB,SW620,0.4948904511
5-FU,ERLOTINIB,SW837,17.2993876184
5-FU,ERLOTINIB,T47D,-3.0497103681
5-FU,ERLOTINIB,UACC62,17.9689860115
5-FU,ERLOTINIB,UWB1289BRCA1,22.191236037600003
5-FU,ERLOTINIB,UWB1289,16.4443510899
5-FU,ERLOTINIB,VCAP,24.4137931368
5-FU,ERLOTINIB,ZR751,22.830617603
5-FU,GELDANAMYCIN,A2058,7.3767092383
5-FU,GELDANAMYCIN,A2780,0.9119639421
5-FU,GELDANAMYCIN,A375,7.160975098
5-FU,GELDANAMYCIN,A427,3.5967980366
5-FU,GELDANAMYCIN,CAOV3,-12.9867067055
5-FU,GELDANAMYCIN,COLO320DM,7.231877045399999
5-FU,GELDANAMYCIN,DLD1,2.4338958065000003
5-FU,GELDANAMYCIN,EFM192B,2.620901233
5-FU,GELDANAMYCIN,ES2,-5.2570249896
5-FU,GELDANAMYCIN,HCT116,2.9166634421
5-FU,GELDANAMYCIN,HT144,5.3722158878999995
5-FU,GELDANAMYCIN,HT29,-3.9460712694
5-FU,GELDANAMYCIN,KPL1,2.3305768406
5-FU,GELDANAMYCIN,LNCAP,16.3096388084
5-FU,GELDANAMYCIN,LOVO,-6.3531366592
5-FU,GELDANAMYCIN,MDAMB436,5.799105229299999
5-FU,GELDANAMYCIN,MSTO,1.4592157232
5-FU,GELDANAMYCIN,NCIH1650,-6.752269383200001
5-FU,GELDANAMYCIN,NCIH2122,-2.6927348531999997
5-FU,GELDANAMYCIN,NCIH23,-9.33481084
5-FU,GELDANAMYCIN,NCIH460,-2.4468045136
5-FU,GELDANAMYCIN,NCIH520,3.5130376786
5-FU,GELDANAMYCIN,OCUBM,-0.9389248489
5-FU,GELDANAMYCIN,OV90,0.2845088978
5-FU,GELDANAMYCIN,OVCAR3,-8.8404468247
5-FU,GELDANAMYCIN,PA1,-1.7946121875999999
5-FU,GELDANAMYCIN,RKO,5.2461803983
5-FU,GELDANAMYCIN,RPMI7951,-8.0842471839
5-FU,GELDANAMYCIN,SKMEL30,-80.6389686735
5-FU,GELDANAMYCIN,SKMES1,2.7036052766000003
5-FU,GELDANAMYCIN,SKOV3,-9.1881641947
5-FU,GELDANAMYCIN,SW620,-2.851271236
5-FU,GELDANAMYCIN,SW837,-10.0141809923
5-FU,GELDANAMYCIN,T47D,30.679994412600003
5-FU,GELDANAMYCIN,UACC62,-1.3454010106999998
5-FU,GELDANAMYCIN,UWB1289BRCA1,-7.7470597939
5-FU,GELDANAMYCIN,UWB1289,-6.7529812562
5-FU,GELDANAMYCIN,VCAP,14.044519216600001
5-FU,GELDANAMYCIN,ZR751,-15.0092845632
5-FU,L778123,A2058,9.7282647976
5-FU,L778123,A2780,8.7866069583
5-FU,L778123,A375,7.632943657899999
5-FU,L778123,A427,12.3277489383
5-FU,L778123,CAOV3,-11.2445613151
5-FU,L778123,COLO320DM,17.7504354548
5-FU,L778123,DLD1,13.2529242306
5-FU,L778123,EFM192B,5.159884963500001
5-FU,L778123,ES2,10.1135073338
5-FU,L778123,HCT116,11.7123653003
5-FU,L778123,HT144,0.19775362789999998
5-FU,L778123,HT29,17.543974246199998
5-FU,L778123,KPL1,2.4967327943
5-FU,L778123,LNCAP,5.0386480378
5-FU,L778123,LOVO,3.0950710355
5-FU,L778123,MDAMB436,6.6049127114
5-FU,L778123,MSTO,1.034479697
5-FU,L778123,NCIH1650,12.219824893800002
5-FU,L778123,NCIH2122,1.4919157638
5-FU,L778123,NCIH23,4.785807361
5-FU,L778123,NCIH460,-0.5617591171
5-FU,L778123,NCIH520,13.778205073599999
5-FU,L778123,OCUBM,10.9390380171
5-FU,L778123,OV90,12.205345101199999
5-FU,L778123,OVCAR3,3.6025835235000003
5-FU,L778123,PA1,14.5367422952
5-FU,L778123,RKO,4.7786590770999995
5-FU,L778123,RPMI7951,0.7730436273000001
5-FU,L778123,SKMEL30,-57.88453337
5-FU,L778123,SKMES1,6.0790006726
5-FU,L778123,SKOV3,8.1306805695
5-FU,L778123,SW620,4.8157967021
5-FU,L778123,SW837,-4.4571313729
5-FU,L778123,T47D,21.158757331700002
5-FU,L778123,UACC62,6.817916203899999
5-FU,L778123,UWB1289BRCA1,12.5476353297
5-FU,L778123,UWB1289,13.7199255864
5-FU,L778123,VCAP,12.7404294136
5-FU,L778123,ZR751,8.120486489600001
5-FU,LAPATINIB,A2058,9.1921381489
5-FU,LAPATINIB,A2780,8.0111248094
5-FU,LAPATINIB,A375,7.497787303
5-FU,LAPATINIB,A427,-4.1794542535
5-FU,LAPATINIB,CAOV3,-6.7775280299
5-FU,LAPATINIB,COLO320DM,3.2093461762
5-FU,LAPATINIB,DLD1,11.5546266847
5-FU,LAPATINIB,EFM192B,7.2381930137
5-FU,LAPATINIB,ES2,5.344512472
5-FU,LAPATINIB,HCT116,9.688038389199999
5-FU,LAPATINIB,HT144,4.670574992300001
5-FU,LAPATINIB,HT29,4.5330856346
5-FU,LAPATINIB,KPL1,-9.537311313
5-FU,LAPATINIB,LNCAP,-16.3764972151
5-FU,LAPATINIB,LOVO,17.490586400599998
5-FU,LAPATINIB,MDAMB436,3.6446355785000004
5-FU,LAPATINIB,MSTO,-55.4702643201
5-FU,LAPATINIB,NCIH1650,0.9058173714
5-FU,LAPATINIB,NCIH2122,9.9561959778
5-FU,LAPATINIB,NCIH23,-8.7347995249
5-FU,LAPATINIB,NCIH460,-2.0350125809
5-FU,LAPATINIB,NCIH520,-7.2635219080999995
5-FU,LAPATINIB,OCUBM,3.6962294526
5-FU,LAPATINIB,OV90,-9.295070254299999
5-FU,LAPATINIB,OVCAR3,18.0118570501
5-FU,LAPATINIB,PA1,14.1592188707
5-FU,LAPATINIB,RKO,11.5445360217
5-FU,LAPATINIB,RPMI7951,3.3187648663
5-FU,LAPATINIB,SKMEL30,9.4835037451
5-FU,LAPATINIB,SKMES1,11.059641017799999
5-FU,LAPATINIB,SKOV3,7.118783779299999
5-FU,LAPATINIB,SW620,-2.41819166
5-FU,LAPATINIB,SW837,6.956325429
5-FU,LAPATINIB,T47D,14.909282783699998
5-FU,LAPATINIB,UACC62,9.1199463026
5-FU,LAPATINIB,UWB1289BRCA1,19.0058752078
5-FU,LAPATINIB,UWB1289,3.8847212875999997
5-FU,LAPATINIB,VCAP,10.6325581361
5-FU,LAPATINIB,ZR751,14.6763066586
5-FU,MK-2206,A2058,15.9003975952
5-FU,MK-2206,A2780,18.656212521500002
5-FU,MK-2206,A375,1.4627542044
5-FU,MK-2206,A427,14.1170997404
5-FU,MK-2206,CAOV3,41.069141780500004
5-FU,MK-2206,COLO320DM,23.4842071652
5-FU,MK-2206,DLD1,17.4731950621
5-FU,MK-2206,EFM192B,-2.2255019318
5-FU,MK-2206,ES2,0.20837955530000002
5-FU,MK-2206,HCT116,4.1234224097
5-FU,MK-2206,HT144,2.0214349365
5-FU,MK-2206,HT29,15.704505817000001
5-FU,MK-2206,KPL1,26.864775353600002
5-FU,MK-2206,LNCAP,8.3059919541
5-FU,MK-2206,LOVO,0.8485305444
5-FU,MK-2206,MDAMB436,11.605373831300001
5-FU,MK-2206,MSTO,-35.3119882241
5-FU,MK-2206,NCIH1650,12.9608908226
5-FU,MK-2206,NCIH2122,14.5182360522
5-FU,MK-2206,NCIH23,3.9299038906
5-FU,MK-2206,NCIH460,16.5835935756
5-FU,MK-2206,NCIH520,12.953864703099999
5-FU,MK-2206,OCUBM,0.7515517096
5-FU,MK-2206,OV90,6.205835325900001
5-FU,MK-2206,OVCAR3,16.3679150898
5-FU,MK-2206,PA1,22.8438567281
5-FU,MK-2206,RKO,21.9986829902
5-FU,MK-2206,RPMI7951,13.7924902162
5-FU,MK-2206,SKMEL30,9.528004578
5-FU,MK-2206,SKMES1,18.5031612926
5-FU,MK-2206,SKOV3,12.725931577
5-FU,MK-2206,SW620,12.555487810399999
5-FU,MK-2206,SW837,5.1723316978
5-FU,MK-2206,T47D,5.9686104256
5-FU,MK-2206,UACC62,16.6719027294
5-FU,MK-2206,UWB1289BRCA1,21.708366618400003
5-FU,MK-2206,UWB1289,20.7586233912
5-FU,MK-2206,VCAP,8.8828429883
5-FU,MK-2206,ZR751,11.5602363877
5-FU,MK-4827,A2058,6.7380597244
5-FU,MK-4827,A2780,9.9200924223
5-FU,MK-4827,A375,-2.1913568907
5-FU,MK-4827,A427,7.285223049400001
5-FU,MK-4827,CAOV3,-3.7460101438
5-FU,MK-4827,COLO320DM,7.4138771847000005
5-FU,MK-4827,DLD1,0.8137396618000001
5-FU,MK-4827,EFM192B,-6.7813763087
5-FU,MK-4827,ES2,-4.0814869489
5-FU,MK-4827,HCT116,8.0324018449
5-FU,MK-4827,HT144,-2.5727064212
5-FU,MK-4827,HT29,3.2803166061
5-FU,MK-4827,KPL1,-3.7239969705
5-FU,MK-4827,LNCAP,-24.481491899499996
5-FU,MK-4827,LOVO,-14.5737162026
5-FU,MK-4827,MDAMB436,2.5650627877
5-FU,MK-4827,MSTO,-54.8482021133
5-FU,MK-4827,NCIH1650,-9.2480173289
5-FU,MK-4827,NCIH2122,1.8558659516
5-FU,MK-4827,NCIH23,-10.5263423251
5-FU,MK-4827,NCIH460,-2.8604770300999998
5-FU,MK-4827,NCIH520,4.4514426938
5-FU,MK-4827,OCUBM,10.3365878625
5-FU,MK-4827,OV90,-11.575963303
5-FU,MK-4827,OVCAR3,-1.8376363782
5-FU,MK-4827,PA1,4.9072076328
5-FU,MK-4827,RKO,-0.3218696371
5-FU,MK-4827,RPMI7951,1.7688753556999999
5-FU,MK-4827,SKMEL30,3.7669646714
5-FU,MK-4827,SKMES1,0.7304384281999999
5-FU,MK-4827,SKOV3,-0.060945556799999995
5-FU,MK-4827,SW620,4.2713930567
5-FU,MK-4827,SW837,-12.7245151344
5-FU,MK-4827,T47D,-9.8818158289
5-FU,MK-4827,UACC62,1.3318645202
5-FU,MK-4827,UWB1289BRCA1,8.4158777087
5-FU,MK-4827,UWB1289,0.7880892026999999
5-FU,MK-4827,VCAP,10.988579061800001
5-FU,MK-4827,ZR751,3.1821546666000002
5-FU,MK-5108,A2058,1.8048954561000001
5-FU,MK-5108,A2780,9.2608129746
5-FU,MK-5108,A375,8.9984383656
5-FU,MK-5108,A427,3.5350283438999996
5-FU,MK-5108,CAOV3,-13.041340690999998
5-FU,MK-5108,COLO320DM,12.5842536583
5-FU,MK-5108,DLD1,0.9239054681000001
5-FU,MK-5108,EFM192B,-0.3141438399
5-FU,MK-5108,ES2,3.5129827458999996
5-FU,MK-5108,HCT116,16.5701564393
5-FU,MK-5108,HT144,0.7960237066
5-FU,MK-5108,HT29,12.4304918803
5-FU,MK-5108,KPL1,3.7195503932
5-FU,MK-5108,LNCAP,-20.6434715032
5-FU,MK-5108,LOVO,0.9569595237
5-FU,MK-5108,MDAMB436,2.8172121104000003
5-FU,MK-5108,MSTO,-34.445935871799996
5-FU,MK-5108,NCIH1650,-0.6599837702
5-FU,MK-5108,NCIH2122,-1.7886402574
5-FU,MK-5108,NCIH23,-2.7746186765
5-FU,MK-5108,NCIH460,-5.659480778200001
5-FU,MK-5108,NCIH520,2.7796403404000003
5-FU,MK-5108,OCUBM,4.9421224788
5-FU,MK-5108,OV90,0.7102572606
5-FU,MK-5108,OVCAR3,10.017439335499999
5-FU,MK-5108,PA1,16.3248100207
5-FU,MK-5108,RKO,-2.4180318894
5-FU,MK-5108,RPMI7951,4.4237664099
5-FU,MK-5108,SKMEL30,14.838571446500001
5-FU,MK-5108,SKMES1,-2.969522572
5-FU,MK-5108,SKOV3,8.1828554544
5-FU,MK-5108,SW620,4.1982352116
5-FU,MK-5108,SW837,-3.1947088918
5-FU,MK-5108,T47D,4.9294221133
5-FU,MK-5108,UACC62,8.1866547691
5-FU,MK-5108,UWB1289BRCA1,13.881785029400001
5-FU,MK-5108,UWB1289,6.5821698596000004
5-FU,MK-5108,VCAP,11.649741335
5-FU,MK-5108,ZR751,0.8270235376
5-FU,MK-8669,A2058,32.336231656
5-FU,MK-8669,A2780,16.2953130836
5-FU,MK-8669,A375,12.762759503800002
5-FU,MK-8669,A427,20.6278648172
5-FU,MK-8669,CAOV3,8.763442761
5-FU,MK-8669,COLO320DM,9.3980636548
5-FU,MK-8669,DLD1,24.5517899509
5-FU,MK-8669,EFM192B,20.517286961099998
5-FU,MK-8669,ES2,15.7050804162
5-FU,MK-8669,HCT116,2.5493305703
5-FU,MK-8669,HT144,4.9157412874
5-FU,MK-8669,HT29,11.8105759879
5-FU,MK-8669,KPL1,11.1882098652
5-FU,MK-8669,LNCAP,15.994093291199999
5-FU,MK-8669,LOVO,6.8775912152
5-FU,MK-8669,MDAMB436,17.4363297943
5-FU,MK-8669,MSTO,-34.4302498796
5-FU,MK-8669,NCIH1650,15.859894622899999
5-FU,MK-8669,NCIH2122,10.3041819135
5-FU,MK-8669,NCIH23,21.7378102867
5-FU,MK-8669,NCIH460,5.0187908405
5-FU,MK-8669,NCIH520,8.1541053655
5-FU,MK-8669,OCUBM,23.658279230300003
5-FU,MK-8669,OV90,9.562591922100001
5-FU,MK-8669,OVCAR3,6.725643869400001
5-FU,MK-8669,PA1,41.3012141448
5-FU,MK-8669,RKO,23.2541342238
5-FU,MK-8669,RPMI7951,27.3312274488
5-FU,MK-8669,SKMEL30,28.1921047119
5-FU,MK-8669,SKMES1,8.5169054379
5-FU,MK-8669,SKOV3,28.7151483289
5-FU,MK-8669,SW620,12.1373778076
5-FU,MK-8669,SW837,12.4165920546
5-FU,MK-8669,T47D,24.178581994
5-FU,MK-8669,UACC62,12.1256517911
5-FU,MK-8669,UWB1289BRCA1,28.3950480532
5-FU,MK-8669,UWB1289,25.237967822199998
5-FU,MK-8669,VCAP,29.6719018896
5-FU,MK-8669,ZR751,10.3250317023
5-FU,MK-8776,A2058,24.2749721777
5-FU,MK-8776,A2058,22.770453821100002
5-FU,MK-8776,A2780,9.9663216014
5-FU,MK-8776,A375,21.5828402766
5-FU,MK-8776,A375,22.6118325467
5-FU,MK-8776,A427,25.934552593200003
5-FU,MK-8776,A427,49.918972590200006
5-FU,MK-8776,CAOV3,58.1187865941
5-FU,MK-8776,CAOV3,56.088325369799996
5-FU,MK-8776,COLO320DM,13.1309407525
